account_rewards,date
-3616.8482783088693,2023-04-05
1702.209474849631,2023-04-06
1923.1652625045972,2023-04-10
-2145.0839248962,2023-04-11
8330.104618043872,2023-04-12
-130.66972589679062,2023-04-13
3163.7008517304203,2023-04-14
-2405.1856824951246,2023-04-17
-647.4458437156864,2023-04-18
-2681.30301177979,2023-04-19
4612.908319038455,2023-04-20
3119.7835138549563,2023-04-21
-9357.195378034608,2023-04-24
-5655.863370895386,2023-04-25
10566.234813659685,2023-04-26
5987.188720119535,2023-04-27
-2342.487217914546,2023-04-28
-9318.657793308259,2023-05-01
-10294.834432342555,2023-05-02
-7321.5504461040255,2023-05-03
13283.358327728347,2023-05-04
-2676.48772819899,2023-05-05
-3074.7812017078977,2023-05-08
-322.78701377869584,2023-05-09
-6847.450779541046,2023-05-10
2207.8145345746307,2023-05-11
2862.0400671595708,2023-05-12
-10649.79746548459,2023-05-15
10720.708311553928,2023-05-16
2701.7585964737227,2023-05-17
-3480.0828894500155,2023-05-18
-5414.304946697201,2023-05-19
-4257.885811233544,2023-05-22
-11450.812724166783,2023-05-23
-4354.578702796949,2023-05-24
5413.064944892889,2023-05-25
-3227.5877058258047,2023-05-26
-5876.411448955536,2023-05-30
-2586.7840658569476,2023-05-31
29485.866114332224,2023-06-01
-3329.5442581024254,2023-06-02
3642.43068703264,2023-06-05
9811.014481760096,2023-06-06
1430.719289720524,2023-06-07
-14.8437383613782,2023-06-08
1625.5808475723024,2023-06-09
9564.224605407799,2023-06-12
-4014.9620757217053,2023-06-13
15523.611926740617,2023-06-14
-230.3074517135974,2023-06-15
-10931.17618087004,2023-06-16
-3676.347095870995,2023-06-20
99.67013818549458,2023-06-21
-8040.514571613283,2023-06-22
-1267.7104354476323,2023-06-23
4856.402478157077,2023-06-26
-2799.0632110481383,2023-06-27
3764.0519566554576,2023-06-28
7808.5309705353575,2023-06-29
2678.8016083850525,2023-06-30
-4131.553021514905,2023-07-03
-13023.379290718003,2023-07-05
