account_value,date,daily_return
1000000.0,2022-04-04,
999998.8530009508,2022-04-05,-1.1469990491841386e-06
999986.7069885492,2022-04-06,-1.2146026333037518e-05
999992.5669828296,2022-04-07,5.860072178398568e-06
999984.4249904633,2022-04-08,-8.142052886350726e-06
999944.2850286127,2022-04-11,-4.0140587040604636e-05
999902.1529971362,2022-04-12,-4.213437899214245e-05
999909.0279904605,2022-04-13,6.87566608759127e-06
999900.9019980909,2022-04-14,-8.126731674718002e-06
999855.7770410063,2022-04-18,-4.512942932088926e-05
999855.6570410015,2022-04-19,-1.2001731397592863e-07
999822.5369413377,2022-04-20,-3.3124881007040585e-05
999762.4199985625,2022-04-21,-6.012761320539628e-05
999801.3079613688,2022-04-22,3.889720400396257e-05
999815.1929480197,2022-04-25,1.3887746035390336e-05
999815.076948023,2022-04-26,-1.1602143823452593e-07
999814.9609480264,2022-04-27,-1.1602145166822453e-07
999780.8449804547,2022-04-28,-3.412228152632757e-05
999870.7311092021,2022-04-29,8.990583206180958e-05
999889.6120910766,2022-05-02,1.8883422913562598e-05
999889.4920910718,2022-05-03,-1.2001325278010455e-07
999889.372091067,2022-05-04,-1.2001326721300387e-07
999933.2520491006,2022-05-05,4.388481291872637e-05
999772.1299284579,2022-05-06,-0.00016113287593200187
999700.0149971248,2022-05-09,-7.213136791306418e-05
999574.9031163336,2022-05-10,-0.0001251494237414219
999262.7959489586,2022-05-11,-0.0003122398995832887
999424.7009553971,2022-05-12,0.00016202445152058154
999508.5998752894,2022-05-13,8.394721464455301e-05
999682.4960550608,2022-05-16,0.00017398167438797962
999832.3859120072,2022-05-17,0.00014993746268232577
999522.2708380998,2022-05-18,-0.00031016706227671165
999522.1658381046,2022-05-19,-1.0505018077644479e-07
999588.0611685575,2022-05-20,6.5926832545804e-05
999417.9539253653,2022-05-23,-0.0001701773458491207
999207.8519170226,2022-05-24,-0.00021022436861128924
999207.7559170248,2022-05-25,-9.607610429451796e-08
999207.659917027,2022-05-26,-9.607611350936907e-08
999169.5639532688,2022-05-27,-3.812617265297469e-05
999403.4689625683,2022-05-31,0.00023409941389140876
999483.3678862753,2022-06-01,7.994661434373995e-05
999401.2649644795,2022-06-02,-8.214536072714829e-05
999149.1639544668,2022-06-03,-0.0002522520421480712
999192.06891346,2022-06-06,4.2941495165038646e-05
999147.9729554239,2022-06-07,-4.4131613338493914e-05
999102.8779983404,2022-06-08,-4.513341197109888e-05
999010.7840860786,2022-06-09,-9.217660592297783e-05
998775.6920300486,2022-06-10,-0.00023532484310984092
998535.6049728276,2022-06-13,-0.00024038135803350347
998584.5229260983,2022-06-14,4.898969353428484e-05
998684.4401287558,2022-06-15,0.00010005883364239132
998327.3548612477,2022-06-16,-0.0003575556533773616
998587.2769232393,2022-06-17,0.0002603575477782005
998640.1938726963,2022-06-21,5.299181221296578e-05
998478.1100271941,2022-06-22,-0.0001623045482213037
998423.029079646,2022-06-23,-5.516490246004757e-05
998702.949146402,2022-06-24,0.0002803621897764508
998474.8640240908,2022-06-27,-0.00022838134452896064
998416.7830794037,2022-06-28,-5.816966133032064e-05
998298.7028402686,2022-06-29,-0.00011826748221410721
998058.6250691533,2022-06-30,-0.00024048691081368645
998424.5510836958,2022-07-01,0.0003666377959683498
998486.4710245668,2022-07-05,6.201764650493047e-05
