,date,actions
0,2022-07-06,[-11]
1,2022-07-07,[-100]
2,2022-07-08,[-100]
3,2022-07-11,[-96]
4,2022-07-12,[-100]
5,2022-07-13,[100]
6,2022-07-14,[-88]
7,2022-07-15,[-100]
8,2022-07-18,[-100]
9,2022-07-19,[-100]
10,2022-07-20,[84]
11,2022-07-21,[-100]
12,2022-07-22,[23]
13,2022-07-25,[-100]
14,2022-07-26,[-100]
15,2022-07-27,[-100]
16,2022-07-28,[53]
17,2022-07-29,[-100]
18,2022-08-01,[-78]
19,2022-08-02,[-100]
20,2022-08-03,[-100]
21,2022-08-04,[-47]
22,2022-08-05,[-10]
23,2022-08-08,[-100]
24,2022-08-09,[-88]
25,2022-08-10,[-8]
26,2022-08-11,[-85]
27,2022-08-12,[32]
28,2022-08-15,[88]
29,2022-08-16,[-100]
30,2022-08-17,[-62]
31,2022-08-18,[-100]
32,2022-08-19,[-99]
33,2022-08-22,[-100]
34,2022-08-23,[-100]
35,2022-08-24,[-100]
36,2022-08-25,[-100]
37,2022-08-26,[-78]
38,2022-08-29,[-100]
39,2022-08-30,[-51]
40,2022-08-31,[-100]
41,2022-09-01,[43]
42,2022-09-02,[-50]
43,2022-09-06,[-100]
44,2022-09-07,[-100]
45,2022-09-08,[-79]
46,2022-09-09,[-100]
47,2022-09-12,[-61]
48,2022-09-13,[-75]
49,2022-09-14,[-28]
50,2022-09-15,[18]
51,2022-09-16,[-100]
52,2022-09-19,[-100]
53,2022-09-20,[-100]
54,2022-09-21,[-100]
55,2022-09-22,[-64]
56,2022-09-23,[-28]
57,2022-09-26,[-100]
58,2022-09-27,[41]
59,2022-09-28,[56]
60,2022-09-29,[-100]
61,2022-09-30,[-100]
