account_value,date,daily_return
998548.470965439,2022-07-06,
998734.1321372635,2022-07-07,0.0001859310561509453
998673.1568323977,2022-07-08,-6.105258937671998e-05
998792.8530751414,2022-07-11,0.00011985527189239953
998733.84057134,2022-07-12,-5.9083826661088246e-05
998849.615460845,2022-07-13,0.00011592166481366739
998731.6685732445,2022-07-14,-0.00011808272814528564
998673.5434825982,2022-07-15,-5.8198906147999274e-05
998445.2597002293,2022-07-18,-0.00022858699307559682
998501.2296467746,2022-07-19,5.605710077905002e-05
998501.1486467744,2022-07-20,-8.112158289552696e-08
998501.0806067742,2022-07-21,-6.814213504569011e-08
998281.4394889928,2022-07-22,-0.0002199708363339603
998336.5417264267,2022-07-25,5.519709698509345e-05
998282.3437780424,2022-07-26,-5.4288254630607824e-05
998229.1468287035,2022-07-27,-5.3288480629243296e-05
998229.0708287044,2022-07-28,-7.613482266854987e-08
998123.7306491268,2022-07-29,-0.00010552706052746608
998072.0066983831,2022-08-01,-5.182118123780999e-05
997970.2095521997,2022-08-02,-0.00010199378952646665
998269.3585640917,2022-08-03,0.0002997574567142891
998562.5015757452,2022-08-04,0.00029365121661673044
998756.0626696011,2022-08-05,0.00019383973817399536
998707.7540156635,2022-08-08,-4.8368821720545796e-05
998613.0678239497,2022-08-09,-9.480870788580731e-05
998612.9939039521,2022-08-10,-7.402266211098407e-08
998612.9871839522,2022-08-11,-6.7293334238271996e-09
998521.9358707197,2022-08-12,-9.11777779790679e-05
998750.9596853297,2022-08-15,0.00022936282757801685
998704.1931698563,2022-08-16,-4.682500178831983e-05
998658.4172134283,2022-08-17,-4.583535018787277e-05
998703.4344704447,2022-08-18,4.507773252648839e-05
998527.0683758793,2022-08-19,-0.000176595061634921
998440.8272780486,2022-08-22,-8.636831244945853e-05
998482.8272379168,2022-08-23,4.2065547322112096e-05
998482.7462379165,2022-08-24,-8.112307792185192e-08
998402.5053143628,2022-08-25,-8.036285439683155e-05
998363.3461186953,2022-08-26,-3.922185236815423e-05
998324.9853152233,2022-08-29,-3.842368975293109e-05
998287.6083507973,2022-08-30,-3.743967643388135e-05
998361.1495206264,2022-08-31,7.366731712776797e-05
998361.0715206292,2022-09-01,-7.812803737294871e-08
998324.8180151725,2022-09-02,-3.631301989925895e-05
998324.7795151734,2022-09-06,-3.8564601845259006e-08
998220.54261451,2022-09-07,-0.00010441181347209394
998153.0286788249,2022-09-08,-6.763428801848104e-05
998185.9017674181,2022-09-09,3.2933916592758905e-05
998249.6887065145,2022-09-12,6.390286517121702e-05
998218.3229863836,2022-09-13,-3.142071616535347e-05
998157.1275446905,2022-09-14,-6.130466680875912e-05
998096.5272619209,2022-09-15,-6.071216755088038e-05
998066.0446909795,2022-09-16,-3.0540704339387936e-05
998065.9756909797,2022-09-19,-6.913370131922392e-08
998008.9667452822,2022-09-20,-5.7119416036699455e-05
997926.4896601388,2022-09-21,-8.264162737159353e-05
997847.0157358715,2022-09-22,-7.963905667485172e-05
997821.146720504,2022-09-23,-2.5924831120960334e-05
997667.8299144118,2022-09-26,-0.0001536515903638458
997716.8758675843,2022-09-27,4.91606040626813e-05
997791.732836173,2022-09-28,7.502826743688296e-05
997766.1798205123,2022-09-29,-2.5609568429785234e-05
997815.1619198964,2022-09-30,4.909176155165618e-05
997815.101919894,2022-10-03,-6.01313797643499e-08
