account_value,date,daily_return
997815.101919894,2022-10-04,
997792.5218071387,2022-10-05,-2.2629556028830322e-05
997792.4628071414,2022-10-06,-5.913052669725971e-08
997771.8838267134,2022-10-07,-2.062450980044872e-05
997752.3058453308,2022-10-10,-1.9621700811489617e-05
997752.2488453315,2022-10-11,-5.712840656091345e-08
997734.6718620405,2022-10-12,-1.7616580981205665e-05
997784.1758147762,2022-10-13,4.96163500496305e-05
997753.0768443809,2022-10-14,-3.116803327718465e-05
997709.4598859237,2022-10-17,-4.371518311452327e-05
997668.8458440171,2022-10-18,-4.070728357252751e-05
997656.2748559581,2022-10-19,-1.2600361444015107e-05
997633.1848435984,2022-10-20,-2.3144256134699503e-05
997643.6568649189,2022-10-21,1.049686546084061e-05
997634.0878456251,2022-10-24,-9.591620442783722e-06
997634.0398456262,2022-10-25,-4.8113832029628156e-08
997633.9918456273,2022-10-26,-4.811383436109651e-08
997627.4238518464,2022-10-27,-6.583570562601615e-06
997638.4168577688,2022-10-28,1.101914969425799e-05
997624.807857229,2022-10-31,-1.3641215404147644e-05
997638.8418542909,2022-11-01,1.4067409863205427e-05
997651.391857295,2022-11-02,1.2579705678472664e-05
997677.1768598305,2022-11-03,2.5845703966353994e-05
997677.0674198262,2022-11-04,-1.0969480601641379e-07
997677.0674198262,2022-11-07,0.0
997677.0674198262,2022-11-08,0.0
997677.0674198262,2022-11-09,0.0
997677.0674198262,2022-11-10,0.0
997677.0674198262,2022-11-11,0.0
997677.0674198262,2022-11-14,0.0
997677.0674198262,2022-11-15,0.0
997677.0674198262,2022-11-16,0.0
997677.0674198262,2022-11-17,0.0
997677.0674198262,2022-11-18,0.0
997677.0674198262,2022-11-21,0.0
997677.0674198262,2022-11-22,0.0
997677.0674198262,2022-11-23,0.0
997677.0674198262,2022-11-25,0.0
997677.0674198262,2022-11-28,0.0
997677.0674198262,2022-11-29,0.0
997677.0674198262,2022-11-30,0.0
997677.0674198262,2022-12-01,0.0
997677.0674198262,2022-12-02,0.0
997677.0674198262,2022-12-05,0.0
997677.0674198262,2022-12-06,0.0
997677.0674198262,2022-12-07,0.0
997677.0674198262,2022-12-08,0.0
997677.0674198262,2022-12-09,0.0
997677.0674198262,2022-12-12,0.0
997677.0674198262,2022-12-13,0.0
997677.0674198262,2022-12-14,0.0
997677.0674198262,2022-12-15,0.0
997677.0674198262,2022-12-16,0.0
997677.0674198262,2022-12-19,0.0
997677.0674198262,2022-12-20,0.0
997677.0674198262,2022-12-21,0.0
997677.0674198262,2022-12-22,0.0
997677.0674198262,2022-12-23,0.0
997677.0674198262,2022-12-27,0.0
997677.0674198262,2022-12-28,0.0
997677.0674198262,2022-12-29,0.0
997677.0674198262,2022-12-30,0.0
997677.0674198262,2023-01-03,0.0
