account_rewards,date
-1773.0147342681885,2022-04-04
154.8891418457497,2022-04-05
899.8338264464401,2022-04-06
1829.2921016692417,2022-04-07
-9765.605471038725,2022-04-08
-2862.417653137236,2022-04-11
9960.450129817938,2022-04-12
3776.5256121292477,2022-04-13
1369.8764144745655,2022-04-14
7282.7788523329655,2022-04-18
7237.350995494868,2022-04-19
-11499.236601749435,2022-04-20
-27771.42136001587,2022-04-21
3079.0040321350098,2022-04-22
-23027.951400756836,2022-04-25
-280.67613983154297,2022-04-26
20532.947177886963,2022-04-27
-22894.16835784912,2022-04-28
-1928.6389503479004,2022-04-29
3999.752098083496,2022-05-02
27468.438705444336,2022-05-03
-24701.58642578125,2022-05-04
685.0843276977539,2022-05-05
-30295.632816314697,2022-05-06
-1769.2243347167969,2022-05-09
-340.3140983581543,2022-05-10
-4555.394550323486,2022-05-11
11512.577346801758,2022-05-12
5490.785106658936,2022-05-13
16043.633895874023,2022-05-16
-957.8461204834748,2022-05-17
-2485.1949214935303,2022-05-18
-177.0839099882869,2022-05-19
4148.113473129342,2022-05-20
574.6963283540681,2022-05-23
2713.727075195289,2022-05-24
10545.533028030419,2022-05-25
15930.982061004615,2022-05-26
-5143.795687339734,2022-05-27
-7425.402925979579,2022-05-31
12395.902164459229,2022-06-01
-4491.124758056714,2022-06-02
1169.6003834152361,2022-06-03
9804.068865814246,2022-06-06
-5942.611940597533,2022-06-07
-22675.392505645752,2022-06-08
-23688.371898651123,2022-06-09
-29738.24472808838,2022-06-10
23.834144592285156,2022-06-13
4373.689903259277,2022-06-14
-26412.984539031982,2022-06-15
-2857.816547393799,2022-06-16
18570.301921844482,2022-06-17
-6386.29748916626,2022-06-21
-7932.66287612915,2022-06-22
26103.454193115234,2022-06-23
445.06744384765625,2022-06-24
-9463.711109161377,2022-06-27
-2929.929023742676,2022-06-28
-7799.4154624938965,2022-06-29
10887.144412994385,2022-06-30
-8978.831909179688,2022-07-01
