account_rewards,date
7934.9855818863725,2023-10-05
10486.840853107395,2023-10-06
2427.194824638311,2023-10-09
19782.07336999511,2023-10-10
-1235.5631882017478,2023-10-11
-1391.2899345094338,2023-10-12
11657.401651649503,2023-10-13
-2642.4523814315908,2023-10-16
-8480.425558998017,2023-10-17
-7040.911211908329,2023-10-18
-9870.937042236328,2023-10-19
-12391.661697387695,2023-10-20
9775.434814453125,2023-10-23
-12075.527885437012,2023-10-24
-7641.701591491699,2023-10-25
-20829.705085754395,2023-10-26
11273.499542236328,2023-10-27
-7912.279518127441,2023-10-30
11887.158088684082,2023-10-31
19991.928436279297,2023-11-01
7988.083564758301,2023-11-02
5068.551597595215,2023-11-03
-602.4939346313477,2023-11-06
2211.769950866699,2023-11-07
-18013.334770202637,2023-11-08
12965.641761779785,2023-11-09
-355.6701354980469,2023-11-10
18268.91273498535,2023-11-13
10807.73737335205,2023-11-14
-10651.066589355469,2023-11-15
-1067.966012786841,2023-11-16
2056.812277031131,2023-11-17
-2810.1012941361405,2023-11-20
5617.38165149698,2023-11-21
3195.4470093536656,2023-11-22
-1415.4400062561035,2023-11-24
3033.5514545440674,2023-11-27
2151.920913696289,2023-11-28
17215.273677825928,2023-11-29
10018.918882369995,2023-11-30
-2073.1205139160156,2023-12-01
-2042.8136806488037,2023-12-04
-1032.5978984832764,2023-12-05
3856.351007461548,2023-12-06
7127.1174392700195,2023-12-07
4666.144025802612,2023-12-08
4970.178998947144,2023-12-11
16023.81265449524,2023-12-12
11299.839370727539,2023-12-13
4021.6859703063965,2023-12-14
-2751.6216773986816,2023-12-15
8636.175260543823,2023-12-18
-14376.501407623291,2023-12-19
9604.0054397583,2023-12-20
1907.4195938110352,2023-12-21
5759.458297729492,2023-12-22
3577.2366981506348,2023-12-26
444.2210865020752,2023-12-27
-1506.9445095062256,2023-12-28
-3297.5114002227783,2023-12-29
-10975.691631317139,2024-01-02
625.14866065979,2024-01-03
