account_value,date,daily_return
997565.348985995,2023-04-05,
997478.6389653337,2023-04-06,-8.692164453139029e-05
997478.5839653325,2023-04-10,-5.5139026566841665e-08
997463.1989799511,2023-04-11,-1.5423875388109742e-05
997448.8149082017,2023-04-12,-1.4420654079416728e-05
997422.1019336295,2023-04-13,-2.6781298621991745e-05
997422.0509336304,2023-04-14,-5.113181167359926e-08
997421.9999336314,2023-04-17,-5.1131814227112216e-08
997421.9489336323,2023-04-18,-5.1131816891647475e-08
997412.5679425311,2023-04-19,-9.405238285853379e-06
997395.8579335939,2023-04-20,-1.6753357110377287e-05
997403.1399484497,2023-04-21,7.30102776924646e-06
997396.7609356206,2023-04-24,-6.395621362620396e-06
997396.7129356217,2023-04-25,-4.812528053843579e-08
997392.3349397522,2023-04-26,-4.389422797124176e-06
997392.2879397523,2023-04-27,-4.712288059760539e-08
997394.5709375304,2023-04-28,2.288966744146137e-06
997403.8329405439,2023-05-01,9.286197542479613e-06
997403.7779405427,2023-05-02,-5.514316203658609e-08
997403.7597905423,2023-05-03,-1.81972444890377e-08
997403.7597905423,2023-05-04,0.0
997403.7597905423,2023-05-05,0.0
997403.7597905423,2023-05-08,0.0
997403.7597905423,2023-05-09,0.0
997403.7597905423,2023-05-10,0.0
997403.7597905423,2023-05-11,0.0
997403.7597905423,2023-05-12,0.0
997403.7597905423,2023-05-15,0.0
997403.7597905423,2023-05-16,0.0
997403.7597905423,2023-05-17,0.0
997403.7597905423,2023-05-18,0.0
997403.7597905423,2023-05-19,0.0
997403.7597905423,2023-05-22,0.0
997403.7597905423,2023-05-23,0.0
997403.7597905423,2023-05-24,0.0
997403.7597905423,2023-05-25,0.0
997403.7597905423,2023-05-26,0.0
997403.7597905423,2023-05-30,0.0
997403.7597905423,2023-05-31,0.0
997403.7597905423,2023-06-01,0.0
997403.7597905423,2023-06-02,0.0
997403.7597905423,2023-06-05,0.0
997403.7597905423,2023-06-06,0.0
997403.7597905423,2023-06-07,0.0
997403.7597905423,2023-06-08,0.0
997403.7597905423,2023-06-09,0.0
997403.7597905423,2023-06-12,0.0
997403.7597905423,2023-06-13,0.0
997403.7597905423,2023-06-14,0.0
997403.7597905423,2023-06-15,0.0
997403.7597905423,2023-06-16,0.0
997403.7597905423,2023-06-20,0.0
997403.7597905423,2023-06-21,0.0
997403.7597905423,2023-06-22,0.0
997403.7597905423,2023-06-23,0.0
997403.7597905423,2023-06-26,0.0
997403.7597905423,2023-06-27,0.0
997403.7597905423,2023-06-28,0.0
997403.7597905423,2023-06-29,0.0
997403.7597905423,2023-06-30,0.0
997403.7597905423,2023-07-03,0.0
997403.7597905423,2023-07-05,0.0
997403.7597905423,2023-07-06,0.0
