account_value,date,daily_return
996457.2294767185,2023-10-05,
996449.3874839349,2023-10-06,-7.86987394096883e-06
996317.7164526029,2023-10-09,-0.0001321402100155078
996367.5954047962,2023-10-10,5.0063299457336896e-05
996321.6354483886,2023-10-11,-4.612751018751027e-05
996264.2654177471,2023-10-12,-5.758183763193703e-05
996212.6314667745,2023-10-13,-5.182756499944041e-05
996316.0374428077,2023-10-16,0.00010379910148383686
996303.787440638,2023-10-17,-1.2295297585618314e-05
996303.6398106429,2023-10-18,-1.481776913392352e-07
996303.6398106429,2023-10-19,0.0
996303.6398106429,2023-10-20,0.0
996303.6398106429,2023-10-23,0.0
996303.6398106429,2023-10-24,0.0
996303.6398106429,2023-10-25,0.0
996303.6398106429,2023-10-26,0.0
996303.6398106429,2023-10-27,0.0
996303.6398106429,2023-10-30,0.0
996303.6398106429,2023-10-31,0.0
996303.6398106429,2023-11-01,0.0
996303.6398106429,2023-11-02,0.0
996303.6398106429,2023-11-03,0.0
996303.6398106429,2023-11-06,0.0
996303.6398106429,2023-11-07,0.0
996303.6398106429,2023-11-08,0.0
996303.6398106429,2023-11-09,0.0
996303.6398106429,2023-11-10,0.0
996303.6398106429,2023-11-13,0.0
996303.6398106429,2023-11-14,0.0
996303.6398106429,2023-11-15,0.0
996303.6398106429,2023-11-16,0.0
996303.6398106429,2023-11-17,0.0
996303.6398106429,2023-11-20,0.0
996303.6398106429,2023-11-21,0.0
996303.6398106429,2023-11-22,0.0
996303.6398106429,2023-11-24,0.0
996303.6398106429,2023-11-27,0.0
996303.6398106429,2023-11-28,0.0
996303.6398106429,2023-11-29,0.0
996303.6398106429,2023-11-30,0.0
996303.6398106429,2023-12-01,0.0
996303.6398106429,2023-12-04,0.0
996303.6398106429,2023-12-05,0.0
996303.6398106429,2023-12-06,0.0
996303.6398106429,2023-12-07,0.0
996303.6398106429,2023-12-08,0.0
996303.6398106429,2023-12-11,0.0
996303.6398106429,2023-12-12,0.0
996303.6398106429,2023-12-13,0.0
996303.6398106429,2023-12-14,0.0
996303.6398106429,2023-12-15,0.0
996303.6398106429,2023-12-18,0.0
996303.6398106429,2023-12-19,0.0
996303.6398106429,2023-12-20,0.0
996303.6398106429,2023-12-21,0.0
996303.6398106429,2023-12-22,0.0
996303.6398106429,2023-12-26,0.0
996303.6398106429,2023-12-27,0.0
996303.6398106429,2023-12-28,0.0
996303.6398106429,2023-12-29,0.0
996303.6398106429,2024-01-02,0.0
996303.6398106429,2024-01-03,0.0
996303.6398106429,2024-01-04,0.0
