account_value,date,daily_return
997403.7597905423,2023-07-07,
997403.7597905423,2023-07-10,0.0
997402.3007676388,2023-07-11,-1.4628207374300928e-06
997397.0525325238,2023-07-12,-5.261903958997394e-06
997384.8253041588,2023-07-13,-1.2259138257753044e-05
997383.6719989812,2023-07-14,-1.156329180518334e-06
997376.6550778357,2023-07-17,-7.035327870830166e-06
997371.6512823245,2023-07-18,-5.016956719172683e-06
997373.9760397898,2023-07-19,2.330883841050735e-06
997373.7859597823,2023-07-20,-1.9058047640019282e-07
997373.7859597823,2023-07-21,0.0
997365.7662373516,2023-07-24,-8.040839396095123e-06
997350.096410331,2023-07-25,-1.5711214031099985e-05
997336.2473773567,2023-07-26,-1.3885829082571632e-05
997329.4053835003,2023-07-27,-6.860267913078033e-06
997343.1925701076,2023-07-28,1.3824105188353641e-05
997102.1485554631,2023-07-31,-0.00024168612814556845
997165.5536746394,2023-08-01,6.358939178729983e-05
997228.674670161,2023-08-02,6.330041715640888e-05
997241.8186894786,2023-08-03,1.3180546901025991e-05
997247.5457439846,2023-08-04,5.7428944502113666e-06
997251.1357402033,2023-08-07,3.5999047920398652e-06
997241.0272996468,2023-08-08,-1.0136303880026176e-05
997240.6619896411,2023-08-09,-3.663206743498293e-07
997262.6323105289,2023-08-10,2.2031112173026557e-05
997329.782292123,2023-08-11,6.733430033212251e-05
997413.9882225977,2023-08-14,8.443138064251343e-05
997461.3210802828,2023-08-15,4.745557836960401e-05
997501.4233416902,2023-08-16,4.020432728557566e-05
997372.928204982,2023-08-17,-0.0001288169958473251
997372.827004984,2023-08-18,-1.0146655782250491e-07
997325.2870498926,2023-08-21,-4.766517976451112e-05
997312.3090346605,2023-08-22,-1.301282079246846e-05
997284.062010172,2023-08-23,-2.8323148358322392e-05
997271.6689019605,2023-08-24,-1.2426858789438278e-05
997263.8409343167,2023-08-25,-7.849383360514217e-06
997255.1998930379,2023-08-28,-8.664749411524397e-06
997257.022401235,2023-08-29,1.8275243862664325e-06
997272.1157265853,2023-08-30,1.5134839877140038e-05
997275.2181660107,2023-08-31,3.1109256706240984e-06
997271.8075888756,2023-09-01,-3.419895604483969e-06
997271.7389088763,2023-09-05,-6.88678841731516e-08
997166.3349088802,2023-09-06,-0.00010569235633961505
997183.9315120201,2023-09-07,1.7646607716192975e-05
997020.1472761383,2023-09-08,-0.00016424676602377897
996991.8147829848,2023-09-11,-2.8417172141304015e-05
997014.554001279,2023-09-12,2.2807828466531177e-05
996977.3025366411,2023-09-13,-3.736300988621544e-05
996912.9925081459,2023-09-14,-6.450500761812084e-05
996873.2216959163,2023-09-15,-3.989396519910038e-05
996993.7572500869,2023-09-18,0.00012091362426769336
996908.0111860915,2023-09-19,-8.600461474495003e-05
996907.9414660928,2023-09-20,-6.993624068751814e-08
996754.0994382141,2023-09-21,-0.00015431919185282528
996715.9284743307,2023-09-22,-3.8295266510446346e-05
996672.8357151526,2023-09-25,-4.3234745173648115e-05
996654.0162528598,2023-09-26,-1.8882286762833544e-05
996647.3474791138,2023-09-27,-6.691162266148076e-06
996519.5720018871,2023-09-28,-0.00012820530506596484
996550.9870918277,2023-09-29,3.152480977108851e-05
996479.6671595814,2023-10-02,-7.156676694919373e-05
996268.9394521995,2023-10-03,-0.00021147215977079803
996380.0995502754,2023-10-04,0.00011157639636638628
