account_rewards,date
0.0,2023-01-04
-0.39234963711351156,2023-01-05
1.1269988656276837,2023-01-06
-0.021759999566711485,2023-01-09
1.78599823708646,2023-01-10
2.485002636909485,2023-01-11
3.6319964707363397,2023-01-12
-3.5262966429581866,2023-01-13
-4.388555842335336,2023-01-17
-3.246015924261883,2023-01-18
10.655311034875922,2023-01-19
4.454715688712895,2023-01-20
7.571002733195201,2023-01-23
-0.01774999941699207,2023-01-24
-0.02626999921631068,2023-01-25
24.579005879117176,2023-01-26
-10.109110367717221,2023-01-27
5.975994229316711,2023-01-30
-0.04425000003539026,2023-01-31
-7.7149927138816565,2023-02-01
15.279985427856445,2023-02-02
-8.715991759323515,2023-02-03
-19.354981613112614,2023-02-06
-29.534630498848855,2023-02-07
-10.235890262527391,2023-02-08
10.340330129489303,2023-02-09
-21.486579533666372,2023-02-10
-10.868829643237405,2023-02-13
11.699688783264719,2023-02-14
11.717268822947517,2023-02-15
-21.50897955300752,2023-02-16
-23.50704750418663,2023-02-17
-12.78498786687851,2023-02-21
26.679094150546007,2023-02-22
-27.629095934098586,2023-02-23
-26.438374822144397,2023-02-24
-54.74978935427498,2023-02-27
12.621987909078598,2023-02-28
-0.051329997717402875,2023-03-01
-14.397186312708072,2023-03-02
-30.161151274107397,2023-03-03
-0.01512000011280179,2023-03-06
-0.04368000023532659,2023-03-07
-0.04648000025190413,2023-03-08
-41.15972249349579,2023-03-09
14.65707365272101,2023-03-10
62.785940069006756,2023-03-13
-0.031319999136030674,2023-03-14
-33.38490818475839,2023-03-15
-53.096054798341356,2023-03-16
108.57774431654252,2023-03-17
-0.02772999880835414,2023-03-20
-0.03657999832648784,2023-03-21
-34.88893677177839,2023-03-22
128.4664068685379,2023-03-23
18.24294259562157,2023-03-24
-35.28091639105696,2023-03-27
-0.06299999949987978,2023-03-28
-0.04850999964401126,2023-03-29
17.36872343462892,2023-03-30
-0.06399999861605465,2023-03-31
-54.99250755738467,2023-04-03
