account_rewards,date
-1921.015458991984,2022-10-04
-9323.623537193285,2022-10-05
-16492.376008384745,2022-10-06
-1103.3222839793889,2022-10-07
10185.628490499454,2022-10-10
88.3733901977539,2022-10-11
27409.01229095459,2022-10-12
-15471.990283966064,2022-10-13
15530.167209625244,2022-10-14
8483.240383148193,2022-10-17
439.71804578974843,2022-10-18
-4542.630688974401,2022-10-19
18995.848651885986,2022-10-20
14595.80884552002,2022-10-21
9084.281607797719,2022-10-24
748.1555480957031,2022-10-25
7836.2541951522,2022-10-26
24305.497466804576,2022-10-27
-7003.886623382568,2022-10-28
-1304.6757507324219,2022-10-31
-17101.11671447754,2022-11-01
-4938.852878570557,2022-11-02
15952.355430603027,2022-11-03
14785.486484527588,2022-11-04
14808.546546936035,2022-11-07
-20156.70830154419,2022-11-08
25452.863956451416,2022-11-09
-1035.493293762207,2022-11-10
-2393.5641479492188,2022-11-11
16.672138214111328,2022-11-14
671.5713882446289,2022-11-15
3115.4583129882812,2022-11-16
4337.364795684814,2022-11-17
4872.074970245361,2022-11-18
8338.450584190316,2022-11-21
-2090.154571533203,2022-11-22
948.4101600646973,2022-11-23
-11876.70458984375,2022-11-25
2011.8918533325195,2022-11-28
19857.43553543091,2022-11-29
-51.29201126098633,2022-11-30
-454.21463775634766,2022-12-01
-10850.859329223633,2022-12-02
-11839.662857055664,2022-12-05
1670.0935256576631,2022-12-06
5240.485130310059,2022-12-07
-14285.349388122559,2022-12-08
13049.720054626465,2022-12-09
1996.3916511535645,2022-12-12
-3849.1865272521973,2022-12-13
-18127.31003189087,2022-12-14
-10018.84856414795,2022-12-15
-4666.025005340576,2022-12-16
4779.890819549561,2022-12-19
9457.701473236084,2022-12-20
-9952.75814819336,2022-12-21
7076.762920379639,2022-12-22
780.5036506652832,2022-12-23
-11624.298885345459,2022-12-27
9737.272525787354,2022-12-28
-2154.5994262695312,2022-12-29
-3279.5058555603027,2022-12-30
