account_rewards,date
185.6611718245549,2022-07-06
-60.97530486586038,2022-07-07
119.69624274375383,2022-07-08
-59.01250380137935,2022-07-11
115.77488950488623,2022-07-12
-117.94688760046847,2022-07-13
-58.12509064632468,2022-07-14
-228.2837823688751,2022-07-15
55.969946545315906,2022-07-18
-0.08100000023841858,2022-07-19
-0.06804000015836209,2022-07-20
-219.64111778140068,2022-07-21
55.102237433893606,2022-07-22
-54.19794838433154,2022-07-25
-53.19694933888968,2022-07-26
-0.07599999906960875,2022-07-27
-105.34017957758624,2022-07-28
-51.72395074367523,2022-07-29
-101.7971461834386,2022-08-01
299.14901189203374,2022-08-02
293.1430116534466,2022-08-03
193.56109385588206,2022-08-04
-48.30865393753629,2022-08-05
-94.68619171378668,2022-08-08
-0.07391999766696244,2022-08-09
-0.006719999830238521,2022-08-10
-91.05131323251408,2022-08-11
229.02381460997276,2022-08-12
-46.76651547336951,2022-08-15
-45.77595642802771,2022-08-16
45.017257016384974,2022-08-17
-176.36609456536826,2022-08-18
-86.24109783070162,2022-08-19
41.99995986814611,2022-08-22
-0.08100000023841858,2022-08-23
-80.24092355370522,2022-08-24
-39.15919566748198,2022-08-25
-38.360803471994586,2022-08-26
-37.376964426017366,2022-08-29
73.54116982908454,2022-08-30
-0.07799999718554318,2022-08-31
-36.253505456727,2022-09-01
-0.03849999909289181,2022-09-02
-104.23690066335257,2022-09-06
-67.51393568515778,2022-09-07
32.873088593245484,2022-09-08
63.78693909640424,2022-09-09
-31.36572013096884,2022-09-12
-61.19544169306755,2022-09-13
-60.60028276965022,2022-09-14
-30.48257094132714,2022-09-15
-0.06899999978486449,2022-09-16
-57.00894569756929,2022-09-19
-82.47708514332771,2022-09-20
-79.47392426733859,2022-09-21
-25.86901536746882,2022-09-22
-153.31680609227624,2022-09-23
49.04595317249186,2022-09-26
74.85696858877782,2022-09-27
-25.553015660727397,2022-09-28
48.98209938406944,2022-09-29
-0.06000000238418579,2022-09-30
